beta,w_dtw,r_lgbm,lgbm_cf,tcn_cf,cf,overall,B1,B2,B3,B4
0.2,0.87,0.65,0.71,0.6,1.05,0.5649,0.6118,0.5611,0.6613,0.4253
0.2,0.87,0.45,0.71,0.6,1.06,0.5638,0.6128,0.5594,0.6602,0.423
0.2,0.87,0.7,0.71,0.6,1.05,0.5652,0.6109,0.5625,0.6609,0.4264
0.2,0.88,0.55,0.71,0.6,1.05,0.5637,0.6111,0.558,0.6616,0.4239
0.2,0.88,0.65,0.71,0.6,1.05,0.5641,0.6093,0.5603,0.6609,0.4259
0.2,0.88,0.45,0.71,0.6,1.05,0.5632,0.6127,0.5558,0.6623,0.4221
0.2,0.88,0.7,0.71,0.6,1.05,0.5643,0.6084,0.5614,0.6606,0.4268
0.2,0.89,0.55,0.71,0.6,1.05,0.5628,0.6079,0.5575,0.6612,0.4246
0.2,0.89,0.65,0.71,0.6,1.04,0.5632,0.6097,0.5562,0.6626,0.4245
0.2,0.89,0.45,0.71,0.6,1.05,0.5625,0.6098,0.5556,0.6617,0.4229
0.2,0.89,0.7,0.71,0.6,1.04,0.5634,0.6088,0.5572,0.6624,0.4254
0.2,0.9,0.55,0.71,0.6,1.03,0.5621,0.6113,0.5508,0.6646,0.4216
0.2,0.9,0.65,0.71,0.6,1.03,0.5625,0.61,0.5524,0.6642,0.4231
0.2,0.9,0.45,0.71,0.6,1.04,0.5618,0.6099,0.5523,0.663,0.4219
0.2,0.9,0.7,0.71,0.6,1.03,0.5626,0.6093,0.5533,0.664,0.4239
0.2,0.91,0.55,0.71,0.6,1.03,0.5614,0.6085,0.5507,0.6642,0.4223
0.2,0.91,0.65,0.71,0.6,1.03,0.5616,0.6069,0.552,0.6639,0.4237
0.2,0.91,0.45,0.71,0.6,1.03,0.5612,0.61,0.5494,0.6645,0.4209
0.2,0.91,0.7,0.71,0.6,1.03,0.5617,0.6062,0.5527,0.6637,0.4244
0.2,0.92,0.55,0.71,0.6,1.02,0.5606,0.6088,0.5477,0.665,0.4211
0.2,0.92,0.65,0.71,0.6,1.02,0.5608,0.6075,0.5488,0.6647,0.4223
0.2,0.92,0.45,0.71,0.6,1.03,0.5604,0.6062,0.5494,0.6642,0.4217
0.2,0.92,0.7,0.71,0.6,1.02,0.5609,0.6068,0.5493,0.6646,0.4229
0.2,0.93,0.55,0.71,0.6,1.02,0.5596,0.6052,0.5466,0.6647,0.4218
0.2,0.93,0.65,0.71,0.6,1.02,0.5598,0.6039,0.5481,0.6645,0.4228
0.2,0.93,0.45,0.71,0.6,1.02,0.5593,0.6064,0.5451,0.6649,0.4207
0.2,0.93,0.7,0.71,0.6,1.02,0.56,0.6032,0.5489,0.6644,0.4234
0.3,0.78,0.55,0.74,0.59,1.13,0.5624,0.6138,0.5878,0.6111,0.437
0.3,0.78,0.65,0.74,0.59,1.12,0.5639,0.6119,0.5911,0.6134,0.4391
0.3,0.78,0.45,0.74,0.59,1.13,0.561,0.6152,0.5813,0.6146,0.4327
0.3,0.78,0.7,0.74,0.59,1.12,0.5645,0.6108,0.5947,0.6116,0.4409
0.3,0.79,0.55,0.74,0.59,1.12,0.5625,0.6137,0.5833,0.6174,0.4355
0.3,0.79,0.65,0.74,0.59,1.11,0.5638,0.6119,0.5862,0.6197,0.4375
0.3,0.79,0.45,0.74,0.59,1.12,0.5612,0.6151,0.5775,0.6208,0.4315
0.3,0.79,0.7,0.74,0.59,1.11,0.5644,0.6109,0.5894,0.6181,0.4393
0.3,0.8,0.55,0.74,0.59,1.11,0.5626,0.6136,0.5791,0.6235,0.434
0.3,0.8,0.65,0.74,0.59,1.1,0.5637,0.612,0.5814,0.6259,0.4357
0.3,0.8,0.45,0.74,0.59,1.11,0.5615,0.615,0.5738,0.6267,0.4303
0.3,0.8,0.7,0.74,0.59,1.1,0.5643,0.611,0.5843,0.6243,0.4376
0.3,0.81,0.55,0.74,0.59,1.1,0.5627,0.6135,0.575,0.6297,0.4325
0.3,0.81,0.65,0.74,0.59,1.09,0.5636,0.612,0.5768,0.6314,0.434
0.3,0.81,0.45,0.74,0.59,1.1,0.5617,0.6149,0.5701,0.6327,0.4291
0.3,0.81,0.7,0.74,0.59,1.09,0.5641,0.6111,0.5794,0.6299,0.4358
0.3,0.82,0.55,0.74,0.59,1.09,0.5627,0.6135,0.571,0.6352,0.4311
0.3,0.82,0.65,0.74,0.59,1.08,0.5634,0.612,0.5724,0.637,0.4323
0.3,0.82,0.45,0.74,0.59,1.09,0.5618,0.6147,0.5665,0.6383,0.4279
0.3,0.82,0.7,0.74,0.59,1.08,0.5639,0.6112,0.5747,0.6355,0.4339
0.3,0.83,0.55,0.74,0.59,1.08,0.5626,0.6134,0.5671,0.6404,0.4296
