alpha_lgbm,cap_lgbm,alpha_tcn,cap_tcn,cf,overall,B1,B2,B3,B4
1.0,1.5,0.8,1.5,0.94,0.5851,0.6211,0.6395,0.6028,0.477
0.2,1.2,0.6,2.0,0.98,0.585,0.6005,0.5894,0.659,0.491
0.4,1.5,0.6,1.5,0.96,0.5847,0.6117,0.5965,0.6707,0.4598
1.0,2.0,0.8,1.5,0.94,0.5846,0.622,0.6546,0.5817,0.48
1.0,1.3,0.6,1.5,0.94,0.5845,0.6189,0.6145,0.6418,0.4627
0.6,1.2,0.4,2.0,0.98,0.5844,0.5997,0.5981,0.6678,0.4719
1.0,1.1,0.4,2.0,0.97,0.5841,0.6058,0.5943,0.6648,0.4716
0.4,1.5,1.0,1.3,0.94,0.5841,0.62,0.5957,0.6611,0.4594
0.4,1.3,0.6,1.5,0.97,0.584,0.6068,0.597,0.6683,0.464
0.6,1.5,0.6,1.5,0.95,0.584,0.616,0.6049,0.656,0.4592
0.6,1.5,0.4,2.0,0.96,0.5839,0.6106,0.6013,0.6587,0.4651
0.8,1.1,0.6,1.5,0.97,0.5839,0.6071,0.5976,0.664,0.4668
0.2,1.1,0.8,1.5,0.98,0.5836,0.6021,0.598,0.6555,0.4789
0.6,1.3,1.0,1.3,0.94,0.5836,0.6203,0.6019,0.6484,0.4638
0.4,1.5,0.4,2.0,0.97,0.5836,0.6053,0.5929,0.6709,0.4654
0.4,1.3,1.0,1.3,0.94,0.5836,0.6198,0.594,0.6595,0.4611
0.6,1.2,1.0,1.3,0.94,0.5835,0.6202,0.5987,0.6515,0.4638
0.4,2.0,0.6,1.5,0.96,0.5834,0.612,0.5992,0.6622,0.4602
0.8,1.5,0.4,2.0,0.95,0.5833,0.615,0.6097,0.6432,0.4652
0.4,2.0,1.0,1.3,0.94,0.5832,0.6203,0.598,0.6546,0.4597
1.0,1.2,0.4,1.5,0.95,0.5832,0.6149,0.6002,0.6655,0.4524
0.2,2.0,1.0,1.3,0.96,0.5831,0.6137,0.5915,0.6645,0.4629
0.4,1.2,0.6,1.5,0.97,0.583,0.6067,0.5944,0.6667,0.464
0.8,1.2,1.0,1.3,0.93,0.5829,0.6209,0.6029,0.6442,0.4636
0.2,1.1,0.6,2.0,0.98,0.5828,0.6004,0.5856,0.6547,0.4906
0.4,2.0,0.4,2.0,0.97,0.5827,0.6057,0.5968,0.6622,0.4661
0.2,1.5,1.0,1.3,0.96,0.5827,0.6135,0.5912,0.6632,0.4629
0.4,1.2,1.0,1.3,0.95,0.5827,0.6175,0.5932,0.6562,0.464
0.8,1.3,1.0,1.3,0.93,0.5825,0.6211,0.6073,0.6386,0.4631
0.8,1.2,0.8,1.3,0.94,0.5825,0.6191,0.5983,0.6557,0.4569
0.6,1.3,0.8,1.3,0.94,0.5824,0.6188,0.5951,0.6614,0.4542
0.4,1.3,0.4,2.0,0.98,0.5824,0.5994,0.5932,0.6679,0.469
1.0,1.2,0.8,1.3,0.94,0.5822,0.6196,0.6057,0.6439,0.4595
0.8,1.1,0.4,2.0,0.97,0.5822,0.6055,0.5891,0.6646,0.4697
0.6,2.0,0.4,2.0,0.96,0.5822,0.6111,0.6088,0.6425,0.4665
0.8,1.2,0.4,1.5,0.97,0.5821,0.6059,0.5983,0.6692,0.4549
0.8,1.5,0.6,1.5,0.95,0.5821,0.6166,0.6161,0.6344,0.4614
0.8,1.1,1.0,1.3,0.94,0.5821,0.6202,0.5934,0.6508,0.464
0.4,1.5,0.8,1.3,0.95,0.582,0.6163,0.5909,0.6686,0.4523
0.2,2.0,0.6,1.5,0.97,0.582,0.6066,0.5892,0.672,0.4603
0.8,1.3,0.8,1.3,0.94,0.582,0.6193,0.6029,0.649,0.4569
1.0,1.2,1.0,1.3,0.93,0.582,0.6214,0.6098,0.6302,0.4665
0.6,1.2,0.8,1.3,0.95,0.582,0.6165,0.5927,0.6617,0.4571
0.6,1.1,0.6,1.5,0.97,0.5819,0.6068,0.5922,0.6639,0.4648
1.0,1.5,0.4,2.0,0.95,0.5819,0.6156,0.6204,0.6237,0.468
0.8,2.0,0.4,2.0,0.96,0.5819,0.6119,0.6254,0.6196,0.4706
0.6,2.0,0.6,1.5,0.95,0.5818,0.6165,0.6111,0.6393,0.4603
1.0,1.1,0.8,1.3,0.94,0.5818,0.619,0.5897,0.6617,0.4569
0.6,1.1,1.0,1.3,0.95,0.5818,0.6177,0.5914,0.6534,0.4648
0.2,1.3,1.0,1.3,0.96,0.5817,0.6134,0.5896,0.6599,0.464
0.8,1.3,0.4,1.5,0.95,0.5817,0.6146,0.5975,0.665,0.4497
0.4,1.3,0.8,1.3,0.96,0.5815,0.6124,0.5908,0.6657,0.4569
0.6,1.5,1.0,1.3,0.93,0.5815,0.6209,0.6025,0.6436,0.4592
1.0,1.1,1.0,1.3,0.93,0.5814,0.6208,0.5948,0.6466,0.4632
1.0,2.0,0.4,2.0,0.95,0.5813,0.6165,0.6356,0.6019,0.4712
0.8,1.1,0.8,1.3,0.95,0.5812,0.6165,0.5877,0.663,0.4575
1.0,1.2,0.6,1.3,0.94,0.5812,0.6181,0.5975,0.6588,0.4504
0.2,1.5,0.6,1.5,0.97,0.5811,0.6064,0.5888,0.6691,0.4603
