feature,Mon_B1,Tre_B1,Mon_B2,Tre_B2,Mon_B3,Tre_B3,Mon_B4,Tre_B4,Mon_mean,Tre_mean,Quality,rank
ch1_mid_band,0.03999999999999968,0.47209598800149977,0.02654867256637145,0.4683866264352687,0.18181818181817977,0.3002723867892408,0.044117647058823206,0.18396120745981664,0.07312112536084353,0.35617905217145646,0.21465008876615,45
ch2_peak,0.03999999999999968,0.6413408323959506,0.09734513274336197,0.4592009072315263,0.04545454545454494,0.2737669125276435,0.044117647058823206,0.10082233464633077,0.05672933131418245,0.36878274670036276,0.2127560390072726,46
ch3_spectral_entropy,0.1519999999999988,0.6714750656167979,0.02654867256637145,0.4400275409570483,0.0,0.2774089206673477,0.058823529411764275,0.0503341609573058,0.05934305049453363,0.35981142204962496,0.2095772362720793,47
ch3_low_band,0.27999999999999775,0.5426471691038621,0.02654867256637145,0.1006176464632146,0.11363636363636236,0.2840143003064352,0.029411764705882137,0.2859409711202793,0.11239920022715343,0.30330502174844776,0.2078521109878006,48
ch1_freq_std,0.1519999999999988,0.30186726659167606,0.061946902654866715,0.1794090844656852,0.18181818181817977,0.5557030983997278,0.029411764705882137,0.18044224989265778,0.10629421229473185,0.3043554248374367,0.20532481856608428,49
ch4_kurtosis,0.03999999999999968,0.4265436820397451,0.061946902654866715,0.32200643972378046,0.27272727272726965,0.245846101464079,0.16176470588235176,0.08547239905165492,0.13410972031612195,0.2699671555698149,0.2020384379429684,50
ch2_p2p,0.02399999999999981,0.6351736032995876,0.008849557522123816,0.4740568234746158,0.0,0.2730847803881512,0.029411764705882137,0.16980603729908336,0.01556533055700144,0.38803031111535946,0.20179782083618045,51
ch1_low_band,0.13599999999999893,0.5245834270716161,0.13274336283185723,0.4225876349203135,0.04545454545454494,0.30531154239019415,0.014705882352941069,0.029687120801986298,0.08222594765983555,0.3205424312960275,0.20138418947793152,52
ch2_freq_std,0.10399999999999918,0.4643149606299212,0.15044247787610487,0.3338652518175007,0.02272727272727247,0.009193054136874363,0.11764705882352855,0.3411195325480239,0.09870420235672628,0.28712319978308004,0.19291370106990316,53
ch1_kurtosis,0.24799999999999803,0.06874840644919386,0.02654867256637145,0.5654847005933457,0.18181818181817977,0.03409942117807287,0.044117647058823206,0.3675443836690499,0.12512112536084313,0.25896922797241556,0.19204517666662935,54
ch2_mid_band,0.16799999999999865,0.40947581552305967,0.061946902654866715,0.34093679755371503,0.04545454545454494,0.0015151515151515156,0.13235294117646962,0.3745076259637463,0.10193859732146998,0.28160884763891814,0.19177372248019406,55
ch1_crest_f,0.07199999999999943,0.6216152980877391,0.008849557522123816,0.10700066827322251,0.09090909090908988,0.2721484508001362,0.08823529411764641,0.24958929938208224,0.06499848563721489,0.31258842913579504,0.18879345738650496,56
ch3_freq_std,0.21599999999999828,0.26638170228721414,0.04424778761061908,0.19765091836941334,0.27272727272726965,0.2945863125638407,0.044117647058823206,0.15515149252338192,0.14427317684917756,0.22844260643596254,0.18635789164257005,57
ch4_shape_f,0.007999999999999936,0.38388301462317215,0.02654867256637145,0.21314675684980056,0.18181818181817977,0.2513278855975486,0.17647058823529282,0.16342150951145293,0.098209360654961,0.25294479164549355,0.17557707615022727,58
ch1_impulse_f,0.03999999999999968,0.6236250468691414,0.008849557522123816,0.06366416232964095,0.09090909090908988,0.24625468164794012,0.029411764705882137,0.2879618048425336,0.04229260328427388,0.305376423922314,0.17383451360329394,59
ch2_kurtosis,0.05599999999999956,0.08099887514060744,0.07964601769911435,0.2963447479799924,0.04545454545454494,0.37912836227442975,0.08823529411764641,0.3281684619261859,0.06733396431782632,0.27116011183030386,0.1692470380740651,60
ch2_shape_f,0.05599999999999956,0.0989366329208849,0.09734513274336197,0.26286628460339,0.06818181818181741,0.2426625808648281,0.16176470588235176,0.3392760468198704,0.09582291420188267,0.23593538630224337,0.165879150252063,61
ch2_spectral_entropy,0.1519999999999988,0.39049418822647175,0.07964601769911435,0.15721431319738363,0.02272727272727247,0.0716547497446374,0.044117647058823206,0.36140254261018906,0.07462273437130221,0.24519144844467045,0.1599070914079863,62
ch2_bhigh_band,0.07199999999999943,0.35141507311586057,0.13274336283185723,0.02453170247666107,0.0,0.1930200885257065,0.13235294117646962,0.3393787219743498,0.08427407600208156,0.2270863965231445,0.15568023626261301,63
ch1_skewness,0.05599999999999956,0.011311586051743532,0.1150442477876096,0.24457584901075313,0.02272727272727247,0.35226421518556356,0.029411764705882137,0.38795807120055253,0.05579582130519094,0.2490274303621532,0.15241162583367207,64
ch2_impulse_f,0.02399999999999981,0.10985526809148857,0.008849557522123816,0.09604908770579779,0.15909090909090728,0.4641300646918625,0.044117647058823206,0.2974685907368342,0.05901452841796353,0.24187575280649576,0.15044514061222963,65
ch2_crest_f,0.02399999999999981,0.1133708286464192,0.008849557522123816,0.08853202648792047,0.15909090909090728,0.46887980932924767,0.044117647058823206,0.29120540631358854,0.05901452841796353,0.240497017694294,0.14975577305612875,66
ch1_bhigh_band,0.0879999999999993,0.18100037495313087,0.09734513274336197,0.25435288876288453,0.2272727272727247,0.18522301668369087,0.014705882352941069,0.07795377751227434,0.10683093559225677,0.17463251447799516,0.14073172503512596,67
ch3_impulse_f,0.02399999999999981,0.1691578552680915,0.09734513274336197,0.5558858670338794,0.02272727272727247,0.0779536942458291,0.07352941176470534,0.08923404334758339,0.0544004543088349,0.22305786497384583,0.13872915964134036,68
ch3_crest_f,0.007999999999999936,0.12853693288338958,0.09734513274336197,0.5641643547113263,0.04545454545454494,0.030251957780047675,0.029411764705882137,0.09829745925663189,0.04505286072594725,0.20531267615784884,0.12518276844189805,69
ch2_skewness,0.007999999999999936,0.22200524934383203,0.04424778761061908,0.06585933861201677,0.04545454545454494,0.15803541028260132,0.10294117647058748,0.3515643959900685,0.05016087738393786,0.19936609855712967,0.12476348797053377,70
ch4_impulse_f,0.05599999999999956,0.05531608548931383,0.008849557522123816,0.5585508596423726,0.02272727272727247,0.150187265917603,0.014705882352941069,0.08969608154274085,0.02557067815058423,0.2134375731480076,0.11950412564929591,71
ch4_crest_f,0.05599999999999956,0.04677315335583053,0.008849557522123816,0.5671209574532716,0.02272727272727247,0.13724889342866872,0.014705882352941069,0.08982675901207833,0.02557067815058423,0.21024244081246232,0.11790655948152327,72
ch4_skewness,0.05599999999999956,0.18018447694038248,0.008849557522123816,0.04261153075069359,0.09090909090908988,0.21950970377936674,0.11764705882352855,0.21161349338211954,0.06835142681368545,0.1634798012131406,0.11591561401341302,73
ch3_skewness,0.03999999999999968,0.005492313460817398,0.008849557522123816,0.06655596281970799,0.04545454545454494,0.22495743956418118,0.058823529411764275,0.2820113129352026,0.03828190809710818,0.1447542571949773,0.09151808264604275,74
ch2_low_band,0.02399999999999981,0.2304761904761905,0.04424778761061908,0.21411879062797434,0.0,0.05367722165474975,0.08823529411764641,0.06718222039688614,0.039120770432066326,0.1413636057889502,0.09024218811050826,75
ch4_low_band,0.0879999999999993,0.4070461192350957,0.07964601769911435,0.012235475182762603,0.04545454545454494,0.06702417432754512,0.014705882352941069,0.0005087087199208468,0.05695161137664991,0.12170361936633108,0.08932761537149049,76
