w_th,alpha,cap,cf,overall,B1,B2,B3,B4
0.6,0.2,2.0,0.96,0.5523,0.6076,0.5869,0.6113,0.4033
0.1,0.8,1.8,0.76,0.5523,0.5987,0.5311,0.6284,0.451
0.7,0.2,1.5,0.96,0.5522,0.5862,0.5899,0.6467,0.3859
0.3,0.6,1.8,0.82,0.5522,0.6046,0.5437,0.6258,0.4347
0.5,0.8,1.3,0.88,0.552,0.593,0.5756,0.6363,0.4028
0.7,0.6,1.2,0.94,0.5516,0.5818,0.5905,0.6486,0.3856
0.6,0.6,1.3,0.91,0.5509,0.5861,0.5811,0.6425,0.3938
0.7,0.4,1.3,0.94,0.5507,0.5809,0.5874,0.6488,0.3856
0.6,1.0,1.2,0.9,0.5499,0.585,0.5839,0.6359,0.3948
0.0,0.0,1.1,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,0.0,1.3,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,0.0,1.8,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,0.0,1.5,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,0.0,2.0,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.0,0.0,1.2,1.0,0.5499,0.5808,0.5344,0.6617,0.4226
0.4,0.6,1.5,0.85,0.5496,0.5954,0.5572,0.6345,0.4115
0.35,0.6,1.8,0.81,0.549,0.5947,0.5394,0.6336,0.4285
0.3,0.6,2.0,0.81,0.549,0.6005,0.5405,0.6123,0.4426
0.1,0.8,2.0,0.75,0.549,0.5946,0.526,0.6228,0.4527
0.5,0.4,1.8,0.88,0.5482,0.5948,0.5598,0.626,0.4122
0.2,0.8,1.8,0.75,0.5474,0.5863,0.5232,0.637,0.4429
0.3,0.8,1.5,0.8,0.5467,0.5938,0.544,0.6279,0.4212
0.0,1.0,1.8,0.7,0.5467,0.5795,0.5182,0.6362,0.453
0.7,0.8,1.2,0.91,0.5466,0.5726,0.5816,0.6462,0.386
0.2,1.0,1.5,0.76,0.5465,0.5987,0.5377,0.6166,0.4331
0.5,1.0,1.3,0.84,0.5456,0.579,0.5647,0.6357,0.403
0.6,0.4,1.5,0.89,0.5454,0.575,0.5643,0.6493,0.3929
0.4,0.6,1.8,0.81,0.5449,0.589,0.5392,0.6266,0.4248
0.7,0.2,1.8,0.95,0.5446,0.5844,0.5848,0.6178,0.3912
0.35,0.6,2.0,0.81,0.5445,0.5967,0.541,0.6007,0.4395
0.6,0.8,1.3,0.87,0.5438,0.5734,0.5696,0.6376,0.3946
0.2,0.8,2.0,0.75,0.5438,0.5883,0.5243,0.6094,0.4534
0.5,0.4,2.0,0.88,0.5433,0.6011,0.56,0.5915,0.4207
0.1,1.0,1.8,0.7,0.5432,0.5746,0.5147,0.6317,0.452
0.0,1.0,2.0,0.7,0.543,0.5808,0.5196,0.6174,0.4544
0.35,0.8,1.5,0.8,0.543,0.5862,0.5443,0.624,0.4174
0.7,0.6,1.3,0.89,0.5428,0.5648,0.5702,0.651,0.3853
